userId,itemIds,runNumber
78,"[8961, 2572, 2153, 34072]",3
82,"[78499, 41, 71, 225, 3655]",3
121,"[6377, 4954, 837, 1246, 4886]",3
144,"[27619, 2, 500, 1197]",3
186,"[3114, 17, 1197, 1682, 367]",3
232,"[17, 78499, 36, 1206, 4368]",3
234,"[3114, 1198, 1197, 4954, 1270]",3
239,"[3114, 1307, 318, 296, 109374]",3
283,"[6377, 8533, 2291, 27619, 7361]",3
322,"[8961, 3554, 296, 4973, 46578]",3
323,"[27619, 1307, 457, 1265, 527]",3
372,"[3114, 27619, 1197, 8961, 356]",3
378,"[8360, 1197, 2791, 8961, 1265]",3
451,"[6377, 318, 134853, 1197]",3
462,"[78499, 82, 356, 775, 1028]",3
476,"[6377, 50601, 3671, 2268]",3
492,"[27619, 527, 1197, 356, 1225]",3
525,"[78499, 5, 233, 1252, 2333]",3
533,"[6377, 27619, 4886, 1197, 152081]",3
51,"[2, 44, 76, 724]",3
116,"[1197, 150, 246, 5103]",3
288,"[2, 1641, 2146, 2058, 2161]",3
24,"[3450, 296, 8874, 1197, 1270]",3
150,"[56587, 1784, 94070, 7149, 140110]",3
425,"[3, 4, 356, 795, 1147]",3
480,"[3, 21, 237, 94]",3
521,"[1784, 318, 2028, 1265, 356]",3
559,"[3450, 43, 307, 6796, 531]",3
573,"[3, 8, 238]",3
133,"[1678, 27619, 3554, 110781, 3844]",3
177,"[4, 933, 1934, 2383, 2384]",3
286,"[830, 1265, 1393, 1784, 1183]",3
332,"[4, 166, 1283, 3174]",3
381,"[39, 918, 2066, 3328]",3
387,"[4, 17, 351, 1095, 3204]",3
402,"[4069, 231, 7361, 367, 6942]",3
404,"[1477, 165, 261, 457, 837]",3
453,"[4, 17, 27, 60, 63]",3
464,"[94070, 5103, 1259, 6711, 7361]",3
534,"[4, 36, 538]",3
588,"[1678, 150, 39, 296, 17]",3
6,"[28, 596, 674, 544, 605]",3
28,"[357, 16, 21, 2301]",3
46,"[1013, 46578, 86833, 47099, 54503]",3
64,"[36, 173, 346, 736, 2146]",3
103,"[5, 57, 254, 951, 1475]",3
160,"[16, 198, 837, 369]",3
215,"[1197, 7361, 46578, 7147, 318]",3
220,"[5, 1013, 1055]",3
391,"[5, 62, 85, 348, 2395]",3
